,price,origin_id,destination_id,outbound_date,inbound_date,currency,origin_city_name,origin_country_name,destination_city_name,destination_country_name,direct,carrier_name,carrier_id,skyscanner_code,date_collected
40,265.0,PMI,LON,2017-05-08T00:00:00,2017-05-08T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
41,51.0,PMI,LON,2017-05-08T00:00:00,2017-05-08T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
42,85.0,PMI,LON,2017-05-08T00:00:00,2017-05-08T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
43,18.0,PMI,LON,2017-05-09T00:00:00,2017-05-09T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
44,95.0,PMI,LON,2017-05-09T00:00:00,2017-05-09T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
45,24.0,PMI,LON,2017-05-09T00:00:00,2017-05-09T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
46,113.0,PMI,LON,2017-05-09T00:00:00,2017-05-09T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
47,27.0,PMI,LON,2017-05-09T00:00:00,2017-05-09T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
48,55.0,PMI,LON,2017-05-09T00:00:00,2017-05-09T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
49,21.0,PMI,LON,2017-05-10T00:00:00,2017-05-10T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
50,94.0,PMI,LON,2017-05-10T00:00:00,2017-05-10T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
51,24.0,PMI,LON,2017-05-10T00:00:00,2017-05-10T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
52,55.0,PMI,LON,2017-05-10T00:00:00,2017-05-10T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
53,21.0,PMI,LON,2017-05-11T00:00:00,2017-05-11T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
